Loading training data...
Loaded 6920 training examples

Training: Unigram (decay=0.95)
  Epoch 1/30, Avg Loss: 1.2887, LR: 0.4750
  Epoch 11/30, Avg Loss: 0.0023, LR: 0.2844
  Epoch 12/30, Avg Loss: 0.0022, LR: 0.2702
  Epoch 13/30, Avg Loss: 0.0021, LR: 0.2567
  Epoch 14/30, Avg Loss: 0.0020, LR: 0.2438
  Epoch 15/30, Avg Loss: 0.0019, LR: 0.2316
  Epoch 16/30, Avg Loss: 0.0019, LR: 0.2201
  Epoch 17/30, Avg Loss: 0.0018, LR: 0.2091
  Epoch 18/30, Avg Loss: 0.0018, LR: 0.1986
  Epoch 19/30, Avg Loss: 0.0017, LR: 0.1887
  Epoch 20/30, Avg Loss: 0.0017, LR: 0.1792
  Epoch 21/30, Avg Loss: 0.0016, LR: 0.1703
  Epoch 22/30, Avg Loss: 0.0016, LR: 0.1618
  Epoch 23/30, Avg Loss: 0.0016, LR: 0.1537
  Epoch 24/30, Avg Loss: 0.0015, LR: 0.1460
  Epoch 25/30, Avg Loss: 0.0015, LR: 0.1387
  Epoch 26/30, Avg Loss: 0.0015, LR: 0.1318
  Epoch 27/30, Avg Loss: 0.0015, LR: 0.1252
  Epoch 28/30, Avg Loss: 0.0014, LR: 0.1189
  Epoch 29/30, Avg Loss: 0.0014, LR: 0.1130
  Epoch 30/30, Avg Loss: 0.0014, LR: 0.1073
  Final loss: 0.0014, Features: 191945

Training: Unigram + Fixed LR (decay=1.0)
  Epoch 1/30, Avg Loss: 1.2887, LR: 0.5000
  Epoch 2/30, Avg Loss: 0.6940, LR: 0.5000
  Epoch 3/30, Avg Loss: 0.4259, LR: 0.5000
  Epoch 4/30, Avg Loss: 0.2835, LR: 0.5000
  Epoch 5/30, Avg Loss: 0.1984, LR: 0.5000
  Epoch 6/30, Avg Loss: 0.1474, LR: 0.5000
  Epoch 7/30, Avg Loss: 0.1030, LR: 0.5000
  Epoch 8/30, Avg Loss: 0.0777, LR: 0.5000
  Epoch 9/30, Avg Loss: 0.0655, LR: 0.5000
  Epoch 10/30, Avg Loss: 0.0480, LR: 0.5000
  Epoch 11/30, Avg Loss: 0.0437, LR: 0.5000
  Epoch 12/30, Avg Loss: 0.0357, LR: 0.5000
  Epoch 13/30, Avg Loss: 0.0307, LR: 0.5000
  Epoch 14/30, Avg Loss: 0.0267, LR: 0.5000
  Epoch 15/30, Avg Loss: 0.0248, LR: 0.5000
  Epoch 16/30, Avg Loss: 0.0226, LR: 0.5000
  Epoch 17/30, Avg Loss: 0.0203, LR: 0.5000
  Epoch 18/30, Avg Loss: 0.0199, LR: 0.5000
  Epoch 19/30, Avg Loss: 0.0186, LR: 0.5000
  Epoch 20/30, Avg Loss: 0.0178, LR: 0.5000
  Epoch 21/30, Avg Loss: 0.0173, LR: 0.5000
  Epoch 22/30, Avg Loss: 0.0161, LR: 0.5000
  Epoch 23/30, Avg Loss: 0.0157, LR: 0.5000
  Epoch 24/30, Avg Loss: 0.0149, LR: 0.5000
  Epoch 25/30, Avg Loss: 0.0146, LR: 0.5000
  Epoch 26/30, Avg Loss: 0.0138, LR: 0.5000
  Epoch 27/30, Avg Loss: 0.0132, LR: 0.5000
  Epoch 28/30, Avg Loss: 0.0131, LR: 0.5000
  Epoch 29/30, Avg Loss: 0.0125, LR: 0.5000
  Epoch 30/30, Avg Loss: 0.0124, LR: 0.5000
  Final loss: 0.0124, Features: 14830

Training: Unigram + Aggressive (decay=0.8)
  Epoch 1/30, Avg Loss: 1.2887, LR: 0.4000
  Epoch 2/30, Avg Loss: 0.5677, LR: 0.3200
  Epoch 3/30, Avg Loss: 0.2814, LR: 0.2560
  Epoch 4/30, Avg Loss: 0.1656, LR: 0.2048
  Epoch 5/30, Avg Loss: 0.1158, LR: 0.1638
  Epoch 6/30, Avg Loss: 0.0925, LR: 0.1311
  Epoch 7/30, Avg Loss: 0.0801, LR: 0.1049
  Epoch 8/30, Avg Loss: 0.0725, LR: 0.0839
  Epoch 9/30, Avg Loss: 0.0686, LR: 0.0671
  Epoch 10/30, Avg Loss: 0.0652, LR: 0.0537
  Epoch 11/30, Avg Loss: 0.0631, LR: 0.0429
  Epoch 12/30, Avg Loss: 0.0613, LR: 0.0344
  Epoch 13/30, Avg Loss: 0.0600, LR: 0.0275
  Epoch 14/30, Avg Loss: 0.0591, LR: 0.0220
  Epoch 15/30, Avg Loss: 0.0583, LR: 0.0176
  Epoch 16/30, Avg Loss: 0.0578, LR: 0.0141
  Epoch 17/30, Avg Loss: 0.0573, LR: 0.0113
  Epoch 18/30, Avg Loss: 0.0570, LR: 0.0090
  Epoch 19/30, Avg Loss: 0.0567, LR: 0.0072
  Epoch 20/30, Avg Loss: 0.0565, LR: 0.0058
  Epoch 21/30, Avg Loss: 0.0563, LR: 0.0046
  Epoch 22/30, Avg Loss: 0.0562, LR: 0.0037
  Epoch 23/30, Avg Loss: 0.0561, LR: 0.0030
  Epoch 24/30, Avg Loss: 0.0560, LR: 0.0024
  Epoch 25/30, Avg Loss: 0.0559, LR: 0.0019
  Epoch 26/30, Avg Loss: 0.0558, LR: 0.0015
  Epoch 27/30, Avg Loss: 0.0558, LR: 0.0012
  Epoch 28/30, Avg Loss: 0.0557, LR: 0.0010
  Epoch 29/30, Avg Loss: 0.0557, LR: 0.0008
  Epoch 30/30, Avg Loss: 0.0557, LR: 0.0006
  Final loss: 0.0557, Features: 14830

Saved combined plot to media/lr_epoch_loss.png

============================================================
Summary of Results
============================================================
Unigram (decay=0.95)                     | Initial: 1.2887 | Final: 0.0213 | Features: 14830
Bigram (decay=0.95)                      | Initial: 1.4560 | Final: 0.0025 | Features: 86353
Better (decay=0.95)                      | Initial: 1.1768 | Final: 0.0014 | Features: 191945
Unigram + Fixed LR (decay=1.0)           | Initial: 1.2887 | Final: 0.0124 | Features: 14830
Unigram + Aggressive (decay=0.8)         | Initial: 1.2887 | Final: 0.0557 | Features: 14830
